Date,Open,High,Low,Close,Volume
1/4/2012,844.8,856,831.9,848.15,3387350
1/5/2012,849,878.8,845.05,870.65,3380234
1/6/2012,862.8,866,836.3,853.5,2469065
1/7/2012,850.1,855.5,848.2,852.2,155654
1/9/2012,851,863.4,835.1,858.2,1752655
1/10/2012,869,897,866.1,894.75,1965418
1/11/2012,898,947.45,893.1,933.65,3106413
1/12/2012,931,968.45,926.95,940.5,3551923
1/13/2012,948.85,955.95,928.55,939.7,2400856
1/16/2012,934,939,917.1,935.25,1981422
1/17/2012,943,979.9,943,962.25,2652545
1/18/2012,964,968.95,930.1,933.25,1841280
1/19/2012,945,961.2,943.25,955.05,1778225
1/20/2012,962.1,1020,955.45,1009.05,4924504
1/23/2012,1017,1037.8,990.8,996.95,3594421
1/24/2012,997,1046,984.05,1032.6,7011924
1/25/2012,1038.8,1075.9,1020.55,1063.65,4449954
1/27/2012,1074,1079.4,1056.35,1073.05,2779461
1/30/2012,1069.8,1069.8,1017.3,1023.45,2010435
1/31/2012,1035,1088,1030.95,1075.05,2203159
2/1/2012,1074.5,1092.3,1053.3,1088.1,2227592
2/2/2012,1094,1108.7,1063.55,1075.9,2806667
2/3/2012,1076.7,1109.35,1061.2,1099.35,2119699
2/6/2012,1114,1118.4,1097.95,1110.05,2882435
2/7/2012,1124.9,1124.9,1099,1113.6,1716649
2/8/2012,1118,1141.15,1102.65,1127.2,2967018
2/9/2012,1114.7,1141.8,1106.25,1134.5,2307062
2/10/2012,1126,1143.9,1101.9,1118.05,1661450
2/13/2012,1120,1127.75,1108.5,1116.35,1476639
2/14/2012,1118,1133,1111.25,1129.65,1393225
2/15/2012,1142,1230,1140.1,1221,3528193
2/16/2012,1205.15,1235,1195,1224.3,2528000
2/17/2012,1248,1295,1240,1278.2,2929410
2/21/2012,1269,1308.45,1268.15,1287.6,2033183
2/22/2012,1286.3,1293.4,1204,1216.05,3142766
2/23/2012,1210,1245,1196,1217.7,3100197
2/24/2012,1217.8,1246.55,1176.15,1183.45,3045610
2/27/2012,1185,1187.85,1105,1114.5,3051507
2/28/2012,1129.5,1188,1120.15,1170.55,3138141
2/29/2012,1190,1209.55,1160.25,1177.75,2541084
3/1/2012,1175,1175,1132.4,1152.9,1577856
3/2/2012,1164.95,1208.9,1144.45,1166.65,3018407
3/3/2012,1171,1177.7,1166.05,1172.1,109687
3/5/2012,1165,1169,1142.75,1150,1367511
3/6/2012,1148.9,1200,1105.75,1147.5,3914605
3/7/2012,1140,1169.95,1130.75,1164.85,2248366
3/9/2012,1189,1219,1185,1213.4,2372886
3/12/2012,1250,1257.65,1213.15,1225,1940814
3/13/2012,1240,1248.5,1236.35,1240.6,1822438
3/14/2012,1265,1283.7,1258.25,1274.05,2705604
3/15/2012,1275,1276,1233.6,1242.4,1899184
3/16/2012,1234.5,1279.5,1203.45,1216.2,2822843
3/19/2012,1227.95,1238,1188.55,1198.95,1813073
3/20/2012,1200,1221.25,1180.1,1186.35,2177476
3/21/2012,1185,1242.95,1183.15,1228.75,2270010
3/22/2012,1235.25,1243.3,1169.1,1176.5,2128705
3/23/2012,1188.8,1202.5,1152.2,1179.35,2796088
3/26/2012,1174.9,1174.9,1120,1125.15,2270885
3/27/2012,1154,1161,1117.05,1141.5,2947670
3/28/2012,1130,1137.85,1108.25,1115.6,1969080
3/29/2012,1098.15,1137.6,1095.2,1122.05,2738630
3/30/2012,1132.5,1152,1130,1146.2,2596538
4/2/2012,1126,1161.5,1126,1154.8,1731666
4/3/2012,1161,1185,1159,1175.8,1927974
4/4/2012,1161,1173.8,1155.35,1166.65,1496075
4/9/2012,1157.55,1158,1141.2,1145.95,1023341
4/10/2012,1154.5,1159.5,1139.8,1153.55,1128122
4/11/2012,1138,1169.6,1134.05,1157.4,1714756
4/12/2012,1163.4,1202.6,1163.4,1196.5,1929913
4/13/2012,1206,1216.95,1156.1,1162.15,2283736
4/16/2012,1159.8,1200,1158.1,1196.85,1272484
4/17/2012,1209,1225,1161.45,1211.65,3138000
4/18/2012,1220,1226.5,1189.1,1196.3,1517817
4/19/2012,1197.3,1209.4,1183.8,1195.55,1198547
4/20/2012,1189.95,1204.85,1163.15,1177.15,1355032
4/23/2012,1178,1188.4,1127,1134.45,1505173
4/24/2012,1141.9,1142.05,1089,1113.9,2548535
4/25/2012,1114,1125,1081.25,1094.75,2817831
4/26/2012,1096,1098.95,1076.15,1086.65,2185738
4/27/2012,1089.7,1115.95,1089,1104,2527504
4/28/2012,1125.25,1135.85,1114,1121.2,456767
4/30/2012,1120.35,1129.7,1098.25,1106.95,1772972
5/2/2012,1107.2,1127.65,1095,1103.25,1930499
5/3/2012,1094,1094,1054,1058.3,2316943
5/4/2012,1049,1050.2,998.7,1009.75,3702478
5/7/2012,990,1029.7,968.75,1022.55,3048851
5/8/2012,1025.5,1029.9,972,983.45,2401298
5/9/2012,970.3,981.9,955,961.15,2451776
5/10/2012,962.75,994.7,962.75,981.25,2456361
5/11/2012,973.15,1009,967.05,1000.2,2479664
5/14/2012,1004,1013.6,975,997.65,1983588
5/15/2012,988,1006.45,983,993.6,1726538
5/16/2012,970.1,981.95,960.1,971.4,1998560
5/17/2012,979.4,987.9,944.4,951.3,2086488
5/18/2012,933.95,955.4,922,949.4,3046588
5/21/2012,951,968.8,950.15,963.25,2309611
5/22/2012,979,983,958.65,965.55,1903922
5/23/2012,960,969.6,951.5,963.45,1327044
5/24/2012,970.5,999.8,962.75,997.8,2105646
5/25/2012,998,1012,992.4,1000.4,1809738
5/28/2012,1004,1032,1004,1029.4,1737528
5/29/2012,1033,1038,1019.4,1024,1323563
5/30/2012,1016.8,1016.8,996.3,1000.8,998076
5/31/2012,985.6,990.8,964.05,970.95,2458205
6/1/2012,969.8,985,957,964.55,1591361
6/4/2012,955.5,995.4,944.1,988,1568975
6/5/2012,995.4,1011.9,984.05,989.65,1929700
6/6/2012,999,1028,998,1020.35,1941934
6/7/2012,1031.1,1062,1018.55,1057.1,2798444
6/8/2012,1057.8,1057.8,1021.3,1049.4,1965273
6/11/2012,1060.1,1072,1031.05,1036.85,1933645
6/12/2012,1028.1,1061.4,1027.15,1057.6,1899216
6/13/2012,1060,1063,1040,1044.65,2405166
6/14/2012,1031.95,1037.5,1005.75,1013.05,1730531
6/15/2012,1021,1038.35,1010,1032.55,1735376
6/18/2012,1049.9,1050.8,990,1000.15,2313608
6/19/2012,995,1004.9,982.85,1001.55,1921055
6/20/2012,1002.6,1015,994.3,1000.75,1461290
6/21/2012,991.05,1028.9,990.25,1025.45,1754261
6/22/2012,1006,1022,997.55,1014.3,2011688
6/25/2012,1020,1034.25,1006.65,1012.3,2167517
6/26/2012,1007.5,1017,996.7,1002.75,1464827
6/27/2012,1009.2,1015.9,998.1,1000.95,1488812
6/28/2012,981,991,968,978.6,5658988
6/29/2012,994.7,1018.1,987.1,1015.75,3319308
7/2/2012,1021.25,1038.75,1015.75,1029.3,2051283
7/3/2012,1032.95,1050,1032.95,1044.05,1739912
7/4/2012,1051.5,1051.8,1035.2,1041.4,1643472
7/5/2012,1040,1049.5,1031.5,1044,3240151
7/6/2012,1047.7,1047.7,1028,1037.5,1478612
7/9/2012,1028.8,1042.5,1025,1035.85,2150384
7/10/2012,1037,1079,1036.3,1075.3,3119268
7/11/2012,1068.1,1081.4,1062.6,1066.7,1902935
7/12/2012,1059.9,1059.9,1043,1047.8,2129334
7/13/2012,1053,1062,1030.6,1034.7,2017368
7/16/2012,1031.25,1058,1031.25,1046.3,1851626
7/17/2012,1059.6,1061,1012.35,1023.8,4259233
7/18/2012,1030.1,1041.6,1022.55,1038.25,2200590
7/19/2012,1050.8,1066.55,1045.2,1057.05,1914580
7/20/2012,1056.9,1058.7,1038,1040.8,1780269
7/23/2012,1030,1037,1023.5,1027.55,1029847
7/24/2012,1032.55,1045,1030.1,1041.35,1401718
7/25/2012,1039.9,1040.5,1016.1,1028.7,1191914
7/26/2012,1034.95,1034.95,997,1002.2,2307826
7/27/2012,1026.8,1037.6,991.7,997.15,2463639
7/30/2012,1007,1047,1007,1040.35,2174856
7/31/2012,1045.25,1056.8,1022,1044.15,2331008
