Date,Open,High,Low,Close,Volume
2012-01-30,2698.9,2725.2,2690,2712.3,1198557
2012-01-31,2712,2754.65,2706,2746,1082362
2012-02-01,2739.7,2748,2695.65,2742.7,783667
2012-02-02,2740.1,2783,2730,2757,1442282
2012-02-03,2740.05,2792,2740.05,2783.25,1454650
2012-02-06,2805.1,2807.9,2752.1,2777.1,992210
2012-02-07,2805,2805,2713.65,2727.5,902705
2012-02-08,2748,2782,2741.35,2769.15,833937
2012-02-09,2749,2822.1,2731.85,2809.9,1269605
2012-02-10,2799,2802,2751.15,2790.4,647202
2012-02-13,2775.25,2800.5,2757.1,2788.4,716751
2012-02-14,2776,2809.9,2764,2801.05,684721
2012-02-15,2815,2875,2815,2864.1,897291
2012-02-16,2864,2917.7,2860.55,2908.95,1032069
2012-02-17,2916.25,2978,2900.15,2947.8,1432160
2012-02-21,2930,2959.9,2911.25,2938.25,756153
